route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
1,S,1_41040_1_0_1,Calea Dumbravii 1,0,1.0
1,S,1_42180_1_0_2,Calea Dumbravii 1,0,1.0
1,S,1_43200_1_0_3,Calea Dumbravii 1,0,1.0
1,S,1_44820_1_0_4,Calea Dumbravii 1,0,1.0
1,S,1_46500_1_0_1,Calea Dumbravii 1,0,1.0
1,S,1_47520_1_0_2,Calea Dumbravii 1,0,1.0
1,S,1_48600_1_0_3,Calea Dumbravii 1,0,1.0
1,S,1_50040_1_0_4,Calea Dumbravii 1,0,1.0
1,S,1_51480_1_0_1,Calea Dumbravii 1,0,1.0
1,S,1_53340_1_0_3,Calea Dumbravii 1,0,1.0
1,S,1_55080_1_0_4,Calea Dumbravii 1,0,1.0
1,S,1_56940_1_0_1,Calea Dumbravii 1,0,1.0
1,S,1_58680_1_0_3,Calea Dumbravii 1,0,1.0
1,S,1_60540_1_0_4,Calea Dumbravii 1,0,1.0
1,S,1_61620_1_0_1,Calea Dumbravii 1,0,1.0
1,S,1_64020_1_0_3,Calea Dumbravii 1,0,1.0
1,S,1_68400_1_0_3,Calea Dumbravii 1,0,1.0
1,S,1_70980_1_0_4,Calea Dumbravii 1,0,1.0
1,S,1_73080_1_0_1,Calea Dumbravii 1,0,1.0
1,S,1_74940_1_0_3,Calea Dumbravii 1,0,1.0
1,S,1_76680_1_0_4,Calea Dumbravii 1,0,1.0
1,S,1_78540_1_0_1,Calea Dumbravii 1,0,1.0
1,S,1_21600_1_1_1,Hornbach,1,1.1
1,S,1_23040_1_1_2,Hornbach,1,1.1
1,S,1_24840_1_1_4,Hornbach,1,1.1
1,S,1_26640_1_1_1,Hornbach,1,1.1
1,S,1_28440_1_1_2,Hornbach,1,1.1
1,S,1_29820_1_1_3,Hornbach,1,1.1
1,S,1_31440_1_1_4,Hornbach,1,1.1
1,S,1_33060_1_1_1,Hornbach,1,1.1
1,S,1_34140_1_1_2,Hornbach,1,1.1
1,S,1_35220_1_1_3,Hornbach,1,1.1
1,S,1_36840_1_1_4,Hornbach,1,1.1
1,S,1_38460_1_1_1,Hornbach,1,1.1
1,S,1_39540_1_1_2,Hornbach,1,1.1
1,S,1_40620_1_1_3,Hornbach,1,1.1
1,S,1_42240_1_1_4,Hornbach,1,1.1
1,S,1_43860_1_1_1,Hornbach,1,1.1
1,S,1_44940_1_1_2,Hornbach,1,1.1
1,S,1_46020_1_1_3,Hornbach,1,1.1
1,S,1_47520_1_1_4,Hornbach,1,1.1
1,S,1_48960_1_1_1,Hornbach,1,1.1
1,S,1_50640_1_1_3,Hornbach,1,1.1
1,S,1_52440_1_1_4,Hornbach,1,1.1
1,S,1_53640_1_1_1,Hornbach,1,1.1
1,S,1_55440_1_1_3,Hornbach,1,1.1
1,S,1_57240_1_1_4,Hornbach,1,1.1
1,S,1_59040_1_1_1,Hornbach,1,1.1
1,S,1_60840_1_1_3,Hornbach,1,1.1
1,S,1_63120_1_1_4,Hornbach,1,1.1
1,S,1_65940_1_1_3,Hornbach,1,1.1
1,S,1_69960_1_1_1,Hornbach,1,1.1
1,S,1_71640_1_1_3,Hornbach,1,1.1
1,S,1_73440_1_1_4,Hornbach,1,1.1
1,S,1_75240_1_1_1,Hornbach,1,1.1
1,S,1_77040_1_1_3,Hornbach,1,1.1
1,D,1_21000_2_0_2,Calea Dumbravii 1,0,1.0
